1507614229379	addons.xpi	ERROR	Failed to clean updated system add-ons directories.
1507617357560	Sync.Service	DEBUG	User-Agent: Firefox/56.0 (Linux x86_64) FxSync/1.58.0.20171003101344.desktop
1507617357560	Sync.Service	INFO	Starting sync at 2017-10-10 12:05:57 in browser session 3phAGDZhmq6S
1507617357561	Sync.SyncScheduler	DEBUG	Clearing sync triggers and the global score.
1507617357562	Sync.Telemetry	TRACE	observed weave:service:sync:start 
1507617357566	Sync.Status	INFO	Resetting Status.
1507617357566	Sync.Status	DEBUG	Status.service: success.status_ok => success.status_ok
1507617357568	FirefoxAccounts	DEBUG	already verified
1507617357568	Sync.BrowserIDManager	INFO	Getting an assertion from: https://token.services.mozilla.com/1.0/sync/1.5
1507617357569	FirefoxAccounts	DEBUG	enter getAssertion()
1507617357572	FirefoxAccounts	DEBUG	getKeypairAndCertificate: already have keyPair and certificate
1507617357572	FirefoxAccounts	DEBUG	getAssertionFromCert
1507617357574	FirefoxAccounts	DEBUG	getAssertionFromCert returning signed: true
1507617357574	Sync.BrowserIDManager	DEBUG	Getting a token
1507617357577	Common.TokenServerClient	DEBUG	Beginning BID assertion exchange: https://token.services.mozilla.com/1.0/sync/1.5
1507617357578	Services.Common.RESTRequest	DEBUG	GET request to https://token.services.mozilla.com/1.0/sync/1.5
1507617357578	Services.Common.RESTRequest	TRACE	HTTP Header accept: application/json
1507617357578	Services.Common.RESTRequest	TRACE	HTTP Header authorization: ***** (suppressed)
1507617357578	Services.Common.RESTRequest	TRACE	HTTP Header x-client-state: 3ca8aa74c039805ef1ba26fc5909811c
1507617358361	Services.Common.RESTRequest	TRACE	onStartRequest: GET https://token.services.mozilla.com/1.0/sync/1.5
1507617358361	Services.Common.RESTRequest	TRACE	Channel for GET https://token.services.mozilla.com/1.0/sync/1.5 returned status code 0
1507617358362	Services.Common.RESTRequest	DEBUG	GET https://token.services.mozilla.com/1.0/sync/1.5 200
1507617358362	Services.Common.RESTRequest	TRACE	GET body: {"uid": 64110830, "hashalg": "sha256", "api_endpoint": "https://sync-438-us-west-2.sync.services.mozilla.com/1.5/64110830", "duration": 3600, "key": "SS1bNE90TPi7K-wZsiS-l0oVpCGpGET6s0i8ZYsFKJU=", "hashed_fxa_uid": "89655e6d074f496180a3f3a4f872d7d9", "id": "eyJub2RlIjogImh0dHBzOi8vc3luYy00MzgtdXMtd2VzdC0yLnN5bmMuc2VydmljZXMubW96aWxsYS5jb20iLCAidWlkIjogNjQxMTA4MzAsICJleHBpcmVzIjogMTUwNzYyMDk1OCwgImZ4YV91aWQiOiAiODk2NTVlNmQwNzRmNDk2MTgwYTNmM2E0Zjg3MmQ3ZDkiLCAic2FsdCI6ICI3NWUwZGMiLCAiZGV2aWNlX2lkIjogIjk2ZDY3YTNkYzdiYTFjZjUzMzg0OTZjM2RlNjVmZmU0In08xQBjEvHy70V75GnRTi2MqfM1GYRjYg5JosqDvJe7gA=="}
1507617358362	Common.TokenServerClient	DEBUG	Got token response: 200
1507617358362	Common.TokenServerClient	DEBUG	Successful token response
1507617358363	Sync.BrowserIDManager	DEBUG	Successfully got a sync token
1507617358366	FirefoxAccounts	DEBUG	FxAccountsProfileClient: Requested profile
1507617358366	FirefoxAccounts	DEBUG	getOAuthToken enter
1507617358368	FirefoxAccounts	DEBUG	getOAuthToken returning a cached token
1507617358369	Services.Common.RESTRequest	DEBUG	GET request to https://profile.accounts.firefox.com/v1/profile
1507617358369	Services.Common.RESTRequest	TRACE	HTTP Header authorization: ***** (suppressed)
1507617358369	Services.Common.RESTRequest	TRACE	HTTP Header accept: application/json
1507617358369	Services.Common.RESTRequest	TRACE	HTTP Header if-none-match: "3764ed158ec802349672fd6a23231a21477d9123-gzip"
1507617359186	Sync.AsyncResource	DEBUG	mesg: GET success 200 https://sync-438-us-west-2.sync.services.mozilla.com/1.5/64110830/info/collections?v=1.58.0
1507617359187	Sync.AsyncResource	DEBUG	GET success 200 https://sync-438-us-west-2.sync.services.mozilla.com/1.5/64110830/info/collections?v=1.58.0
1507617359190	Sync.Service	DEBUG	Fetching server configuration: https://sync-438-us-west-2.sync.services.mozilla.com/1.5/64110830/info/configuration
1507617359191	Sync.BrowserIDManager	DEBUG	_ensureValidToken already has one
1507617359220	Services.Common.RESTRequest	TRACE	onStartRequest: GET https://profile.accounts.firefox.com/v1/profile
1507617359221	Services.Common.RESTRequest	TRACE	Channel for GET https://profile.accounts.firefox.com/v1/profile returned status code 0
1507617359221	Services.Common.RESTRequest	DEBUG	GET https://profile.accounts.firefox.com/v1/profile 304
1507617359221	Services.Common.RESTRequest	TRACE	GET body: 
1507617359450	Sync.AsyncResource	DEBUG	mesg: GET success 200 https://sync-438-us-west-2.sync.services.mozilla.com/1.5/64110830/info/configuration
1507617359451	Sync.AsyncResource	DEBUG	GET success 200 https://sync-438-us-west-2.sync.services.mozilla.com/1.5/64110830/info/configuration
1507617359451	Sync.Service	DEBUG	Fetching global metadata record
1507617359452	Sync.Service	DEBUG	Weave Version: 1.58.0 Local Storage: 5 Remote Storage: 5
1507617359452	Sync.Service	DEBUG	Fetching and verifying -- or generating -- symmetric keys.
1507617359452	Sync.Service	INFO	Testing info/collections: {"passwords":1507531854.67,"tabs":1507613756.37,"clients":1507613752.13,"crypto":1489466698.93,"forms":1507205398.02,"meta":1489466718.91,"prefs":1507269247.22,"bookmarks":1507265643.94,"addons":1504177728.68,"history":1507613756.77}
1507617359452	Sync.CollectionKeyManager	INFO	Testing for updateNeeded. Last modified: 1489466698.93
1507617359452	Sync.Synchronizer	DEBUG	Refreshing client list.
1507617359453	Sync.Telemetry	TRACE	observed weave:engine:sync:start clients
1507617359455	Sync.Engine.Clients	INFO	0 outgoing items pre-reconciliation
1507617359459	Sync.BrowserIDManager	DEBUG	_ensureValidToken already has one
1507617359719	Sync.Collection	DEBUG	mesg: GET success 200 https://sync-438-us-west-2.sync.services.mozilla.com/1.5/64110830/storage/clients?full=1&limit=1000
1507617359719	Sync.Collection	DEBUG	GET success 200 https://sync-438-us-west-2.sync.services.mozilla.com/1.5/64110830/storage/clients?full=1&limit=1000
1507617359725	Sync.Engine.Clients	INFO	Records: 0 applied, 0 successfully, 0 failed to apply, 0 newly failed to apply, 1 reconciled.
1507617359726	Sync.Telemetry	TRACE	observed weave:engine:sync:applied clients
1507617359734	Sync.Telemetry	TRACE	observed weave:engine:sync:finish clients
1507617359734	Sync.Synchronizer	INFO	Updating enabled engines: 1 clients.
1507617359737	Sync.Synchronizer	INFO	Syncing all enabled engines.
1507617359738	Sync.Telemetry	TRACE	observed weave:engine:sync:start prefs
